user_id,flights_booked,hotels_booked,cancellations,flight_discounts_used,median_flight_discount_amount,hotel_discounts_used,median_hotel_discount_amount,median_base_fare_usd,median_price_per_room_usd,median_checked_bags,median_seats,median_nights,median_rooms,birthdate,gender,married,has_children,home_country,total_bookings,cancellation_rate,age,kmeans_cluster,dbscan_cluster,pca_cluster,cluster_label
23557,0,2,0,0,,2,0.175,,177.0,,,10.0,1.5,1958-12-08,F,True,False,usa,2,0.0,67,1,0,1,Occasional Voyagers – Starter Flight Boost
94883,2,2,0,0,,1,0.1,432.04499999999996,90.0,0.5,1.5,0.5,1.5,1972-03-16,F,True,False,usa,4,0.0,53,0,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
101486,1,2,0,2,0.07500000000000001,0,,189.91,198.5,0.0,1.0,4.0,1.5,1972-12-07,F,True,True,usa,3,0.0,53,1,0,1,Occasional Voyagers – Starter Flight Boost
101961,5,5,0,2,0.15000000000000002,1,0.1,129.9,132.0,0.0,1.0,4.0,1.0,1980-09-14,F,True,False,usa,10,0.0,45,2,0,3,Road Warriors – Priority Boarding & Fast Track
106907,2,2,1,1,,1,,13902.06,129.0,5.0,6.0,11.0,3.0,1978-11-17,F,True,True,usa,4,0.25,47,3,-1,0,Family & Group Travelers – Family Comfort Package
118043,3,4,0,2,0.2,3,0.05,727.68,185.5,1.0,2.0,6.5,1.0,1972-05-04,F,False,True,usa,7,0.0,53,2,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
120851,1,1,0,2,0.22499999999999998,0,,384.68,182.0,0.0,1.0,11.0,1.0,1972-09-25,F,True,True,usa,2,0.0,53,1,0,1,Occasional Voyagers – Starter Flight Boost
125845,3,3,0,1,0.15,1,0.05,543.54,114.0,1.0,1.0,1.0,1.0,1983-12-01,F,True,False,usa,6,0.0,42,2,0,3,Road Warriors – Priority Boarding & Fast Track
133058,1,0,0,0,,1,0.05,423.51,,0.0,1.0,,,2005-04-07,F,False,False,usa,1,0.0,20,1,0,1,Occasional Voyagers – Starter Flight Boost
149058,5,5,0,1,0.05,0,,461.8,120.0,0.0,1.0,6.0,1.0,1973-01-22,F,False,True,usa,10,0.0,52,2,0,3,Road Warriors – Priority Boarding & Fast Track
152583,1,1,0,1,0.15,1,0.15,367.83,213.0,2.0,1.0,2.0,1.0,1986-07-26,F,False,False,usa,2,0.0,39,1,0,1,Occasional Voyagers – Starter Flight Boost
153982,3,3,0,0,,1,0.15,104.69,121.0,0.0,1.0,1.0,1.0,1978-08-15,F,False,True,canada,6,0.0,47,2,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
160754,1,1,0,0,,0,,93.62,214.0,1.0,1.0,2.0,1.0,1977-12-06,F,True,True,usa,2,0.0,48,1,0,1,Occasional Voyagers – Starter Flight Boost
164522,1,1,0,2,0.05,1,0.05,328.32,233.0,1.0,1.0,13.0,1.0,1975-11-07,F,True,False,usa,2,0.0,50,1,0,1,Occasional Voyagers – Starter Flight Boost
167852,0,0,0,1,0.1,2,0.1,,,,,,,2006-02-16,F,False,False,usa,0,0.0,19,1,0,1,Occasional Voyagers – Starter Flight Boost
171470,3,2,2,3,0.1,2,,2878.25,,0.0,1.0,,,1999-09-14,F,False,False,usa,5,0.4,26,4,-1,2,Frequent Business Flyers – Lounge & No-Fee Cancellation
174997,3,3,1,1,,3,0.125,548.79,112.0,0.0,1.0,2.0,1.0,1991-11-01,F,False,False,usa,6,0.16666666666666666,34,4,1,2,Frequent Business Flyers – Lounge & No-Fee Cancellation
